0 0.2 5.50665
0.2 0.2 5.34199
0.4 0.2 5.24049
0.6 0.2 5.43019
0.8 0.2 5.49999
1 0.2 5.63756
0 0.4 5.14567
0.2 0.4 4.97516
0.4 0.4 4.79251
0.6 0.4 4.97763
0.8 0.4 4.75039
1 0.4 4.63976
0 0.6 4.71405
0.2 0.6 4.58345
0.4 0.6 4.66659
0.6 0.6 4.70687
0.8 0.6 4.64739
1 0.6 4.63976
0 0.8 4.50397
0.2 0.8 4.47492
0.4 0.8 4.45727
0.6 0.8 4.45111
0.8 0.8 4.5724
1 0.8 4.41829
0 1 4.39009
0.2 1 4.26157
0.4 1 4.30398
0.6 1 4.22006
0.8 1 4.33132
1 1 4.34014
0 1.2 4.39009
0.2 1.2 4.13612
0.4 1.2 4.22762
0.6 1.2 4.22006
0.8 1.2 4.22853
1 1.2 4.14373
0 1.4 4.39009
0.2 1.4 4.13612
0.4 1.4 4.15272
0.6 1.4 4.22006
0.8 1.4 4.13787
1 1.4 4.03376
0 1.6 4.39009
0.2 1.6 4.00036
0.4 1.6 4.07964
0.6 1.6 4.15302
0.8 1.6 3.9616
1 1.6 4.03376
0 1.8 4.32432
0.2 1.8 4.00036
0.4 1.8 4.07964
0.6 1.8 4.08562
0.8 1.8 3.86587
1 1.8 4.03376

